plant	time	x	y	r_ag	h_ag	r_bg	h_bg	growth	ag_resources	bg_resources
Initial_000000001	2592000.0	3.85621159906146	8.598933646485218	0.1470588191216894	0.1470588191216894	0.1480588191216894	0.19305881912168937	0.5722352764867575	1.0	0.9537254608112625
Initial_000000002	2592000.0	21.27185288111787	1.2930695209475718	0.11571066481398783	0.11571066481398783	0.11671066481398783	0.16171066481398783	0.4468426592559513	1.0	0.7447377654265855
Initial_000000003	2592000.0	36.26937281241047	0.362379220499216	0.08871512893766118	0.08871512893766118	0.08971512893766118	0.1347151289376612	0.3388605157506447	1.0	0.5647675262510745
Initial_000000004	2592000.0	11.170891597192506	3.573874914190366	0.1338923951250535	0.1338923951250535	0.1348923951250535	0.1798923951250535	0.519569580500214	1.0	0.8659493008336899
Initial_000000005	2592000.0	29.190773659449714	1.5872888856366518	0.10145660741299052	0.10145660741299052	0.10245660741299052	0.14745660741299052	0.38982642965196207	1.0	0.6497107160866035
Initial_000000006	2592000.0	28.90001836406905	2.125216495548401	0.1019799669446757	0.1019799669446757	0.1029799669446757	0.1479799669446757	0.3919198677787028	1.0	0.6531997796311714
Initial_000000007	2592000.0	45.683095008214394	8.52435666577039	0.0717704289852141	0.0717704289852141	0.0727704289852141	0.1177704289852141	0.2710817159408564	1.0	0.4518028599014273
Initial_000000008	2592000.0	6.798332536536194	7.043051931518589	0.14176300143423484	0.14176300143423484	0.14276300143423484	0.18776300143423486	0.5510520057369394	1.0	0.9184200095615657
Initial_000000009	2592000.0	21.984324917574394	0.4824472224839571	0.11442821514836608	0.11442821514836608	0.11542821514836608	0.16042821514836608	0.4417128605934643	1.0	0.7361881009891073
Initial_000000010	2592000.0	27.38289757722311	6.926918234398087	0.1047107843609984	0.1047107843609984	0.1057107843609984	0.15071078436099838	0.4028431374439936	1.0	0.6714052290733227
Initial_000000011	2592000.0	38.41196069660732	6.215688235838598	0.08485847074610683	0.08485847074610683	0.08585847074610684	0.13085847074610685	0.3234338829844273	1.0	0.5390564716407122
Initial_000000012	2592000.0	29.996749799732402	2.814513603994583	0.10000585036048168	0.10000585036048168	0.10100585036048168	0.1460058503604817	0.3840234014419267	1.0	0.6400390024032112
Initial_000000013	2592000.0	21.069753614824887	4.468916533642534	0.11607444349331521	0.11607444349331521	0.11707444349331521	0.1620744434933152	0.4482977739732608	1.0	0.7471629566221014
Initial_000000014	2592000.0	24.042792508951617	2.7005585714712788	0.11072297348388709	0.11072297348388709	0.11172297348388709	0.15672297348388708	0.4268918939355483	1.0	0.7114864898925806
Initial_000000015	2592000.0	11.05779583247406	3.0416985261189344	0.13409596750154668	0.13409596750154668	0.13509596750154668	0.18009596750154666	0.5203838700061867	1.0	0.8673064500103113
Initial_000000016	2592000.0	12.064970154771382	3.5771914789507733	0.13228305372141153	0.13228305372141153	0.13328305372141153	0.1782830537214115	0.5131322148856461	1.0	0.8552203581427434
Initial_000000017	2592000.0	8.87496749230776	8.699862056580422	0.13802505851384603	0.13802505851384603	0.13902505851384603	0.18402505851384604	0.5361002340553841	1.0	0.8935003900923069
Initial_000000018	2592000.0	1.1931793940450242	4.654552478731031	0.15185227709071894	0.15185227709071894	0.15285227709071894	0.19785227709071895	0.5914091083628757	1.0	0.9856818472714597
Initial_000000019	2592000.0	23.50925789241451	2.7899092348646395	0.11168333579365389	0.11168333579365389	0.11268333579365389	0.1576833357936539	0.43073334317461553	1.0	0.7178889052910259
Initial_000000020	2592000.0	10.962233082291434	1.4673761823662312	0.1342679804518754	0.1342679804518754	0.1352679804518754	0.18026798045187542	0.5210719218075016	1.0	0.8684532030125027
Initial_000000021	2592000.0	20.836696239886642	9.838043365938933	0.11649394676820406	0.11649394676820406	0.11749394676820406	0.16249394676820406	0.4499757870728162	1.0	0.7499596451213604
Initial_000000022	2592000.0	2.844352171888276	5.0340370093988565	0.1488801660906011	0.1488801660906011	0.1498801660906011	0.1948801660906011	0.5795206643624043	1.0	0.9658677739373407
Initial_000000023	2592000.0	35.947077287644376	6.3866903059768285	0.08929526088224013	0.08929526088224013	0.09029526088224013	0.13529526088224014	0.3411810435289605	1.0	0.5686350725482675
Initial_000000024	2592000.0	16.128213368326143	4.222551766925138	0.12496921593701295	0.12496921593701295	0.12596921593701293	0.17096921593701295	0.4838768637480518	1.0	0.8064614395800863
Initial_000000025	2592000.0	27.933948564736482	7.025142950950495	0.10371889258347433	0.10371889258347433	0.10471889258347433	0.14971889258347432	0.3988755703338973	1.0	0.6647926172231622
Initial_000000026	2592000.0	29.111727091471902	9.166569495623376	0.10159889123535058	0.10159889123535058	0.10259889123535058	0.14759889123535058	0.3903955649414023	1.0	0.6506592749023372
Initial_000000027	2592000.0	4.845744408975255	3.437390428436229	0.14527766006384454	0.14527766006384454	0.14627766006384454	0.19127766006384456	0.5651106402553782	1.0	0.9418510670922969
Initial_000000028	2592000.0	7.194570292108332	9.009716791122123	0.141049773474205	0.141049773474205	0.142049773474205	0.18704977347420498	0.54819909389682	1.0	0.9136651564947
Initial_000000029	2592000.0	3.3730176222888764	1.8473242181292837	0.14792856827988002	0.14792856827988002	0.14892856827988002	0.19392856827988003	0.5757142731195201	1.0	0.9595237885325335
Initial_000000030	2592000.0	0.8262195048071241	5.591443456310224	0.1525128048913472	0.1525128048913472	0.1535128048913472	0.1985128048913472	0.5940512195653888	1.0	0.9900853659423146
Initial_000000031	2592000.0	16.714938950772446	0.8885070752855739	0.1239131098886096	0.1239131098886096	0.1249131098886096	0.16991310988860958	0.47965243955443837	1.0	0.7994207325907307
Initial_000000032	2592000.0	18.867589866850388	3.7082529133551265	0.1200383382396693	0.1200383382396693	0.12103833823966931	0.1660383382396693	0.4641533529586772	1.0	0.7735889215977954
