plant	time	x	y	r_ag	h_ag	r_bg	h_bg	growth	ag_resources	bg_resources
Initial_000000001	28512000.0	3.85621159906146	8.598933646485218	1.4142876247595273	1.4142876247595273	1.4152876247595274	1.4602876247595276	0.520224186864847	0.8670403114414117	0.9537254608112625
Initial_000000002	28512000.0	21.27185288111787	1.2930695209475718	1.232817312953866	1.232817312953866	1.233817312953866	1.278817312953866	0.4468426592559513	0.766313190465639	0.7447377654265855
Initial_000000003	28512000.0	36.26937281241047	0.362379220499216	0.9358664183142731	0.9358664183142731	0.9368664183142731	0.9818664183142731	0.3388605157506447	1.0	0.5647675262510745
Initial_000000004	28512000.0	11.170891597192506	3.573874914190366	0.9119683827222337	0.9119683827222337	0.9129683827222336	0.9579683827222335	0.025210279693821124	0.04201713282303521	0.8659493008336899
Initial_000000005	28512000.0	29.190773659449714	1.5872888856366518	1.0507435964920213	1.0507435964920213	1.0517435964920214	1.0967435964920214	0.3100508382000756	0.5167513970001261	0.6497107160866035
Initial_000000006	28512000.0	28.90001836406905	2.125216495548401	1.0817796363914327	1.0817796363914327	1.0827796363914328	1.1277796363914327	0.3919198677787028	0.6739221569191566	0.6531997796311714
Initial_000000007	28512000.0	45.683095008214394	8.52435666577039	0.7494747188373553	0.7494747188373553	0.7504747188373553	0.7954747188373553	0.2710817159408564	0.7474915242628677	0.4518028599014273
Initial_000000008	28512000.0	6.798332536536194	7.043051931518589	1.3816300143423483	1.3816300143423483	1.3826300143423482	1.4276300143423482	0.5510520057369394	0.9325312957242725	0.9184200095615657
Initial_000000009	28512000.0	21.984324917574394	0.4824472224839571	1.2092194416410391	1.2092194416410391	1.2102194416410392	1.2552194416410392	0.40834572490706317	0.6805762081784387	0.7361881009891073
Initial_000000010	28512000.0	27.38289757722311	6.926918234398087	0.8404771699333365	0.8404771699333365	0.8414771699333364	0.8864771699333364	0.026289403200329648	0.043815672000549415	0.6714052290733227
Initial_000000011	28512000.0	38.41196069660732	6.215688235838598	0.8934431782071753	0.8934431782071753	0.8944431782071753	0.9394431782071754	0.3234338829844273	1.0	0.5390564716407122
Initial_000000012	28512000.0	29.996749799732402	2.814513603994583	1.0600643539652985	1.0600643539652985	1.0610643539652986	1.1060643539652986	0.3840234014419267	0.8384423057163407	0.6400390024032112
Initial_000000013	28512000.0	21.069753614824887	4.468916533642534	1.2368188784264673	1.2368188784264673	1.2378188784264672	1.2828188784264671	0.4482977739732608	1.0	0.7471629566221014
Initial_000000014	28512000.0	24.042792508951617	2.7005585714712788	1.068219444852846	1.068219444852846	1.069219444852846	1.114219444852846	0.18810001602331775	0.31350002670552957	0.7114864898925806
Initial_000000015	28512000.0	11.05779583247406	3.0416985261189344	1.2634544941116463	1.2634544941116463	1.2644544941116462	1.3094544941116464	0.2393217322523235	0.3988695537538725	0.8673064500103113
Initial_000000016	28512000.0	12.064970154771382	3.5771914789507733	1.3746016988647303	1.3746016988647303	1.3756016988647304	1.4206016988647303	0.5131322148856461	0.8896408627491162	0.8552203581427434
Initial_000000017	28512000.0	8.87496749230776	8.699862056580422	1.4642434481724447	1.4642434481724447	1.4652434481724448	1.5102434481724447	0.4956023250439945	0.8260038750733242	0.8935003900923069
Initial_000000018	28512000.0	1.1931793940450242	4.654552478731031	1.4478959008156569	1.4478959008156569	1.4488959008156568	1.4938959008156567	0.48983842238681036	0.816397370644684	0.9856818472714597
Initial_000000019	28512000.0	23.50925789241451	2.7899092348646395	1.1885166937301928	1.1885166937301928	1.1895166937301926	1.2345166937301928	0.43073334317461553	0.9747886565984782	0.7178889052910259
Initial_000000020	28512000.0	10.962233082291434	1.4673761823662312	1.4369477849706294	1.4369477849706294	1.4379477849706293	1.4829477849706292	0.5210719218075016	0.9970222978168177	0.8684532030125027
Initial_000000021	28512000.0	20.836696239886642	9.838043365938933	1.2414334144502444	1.2414334144502444	1.2424334144502445	1.2874334144502444	0.4499757870728162	1.0	0.7499596451213604
Initial_000000022	28512000.0	2.844352171888276	5.0340370093988565	1.4161633381804242	1.4161633381804242	1.4171633381804243	1.4621633381804242	0.44138850530927093	0.7356475088487849	0.9658677739373407
Initial_000000023	28512000.0	35.947077287644376	6.3866903059768285	0.9422478697046416	0.9422478697046416	0.9432478697046416	0.9882478697046416	0.3411810435289605	1.0	0.5686350725482675
Initial_000000024	28512000.0	16.128213368326143	4.222551766925138	1.3346613753071426	1.3346613753071426	1.3356613753071425	1.3806613753071426	0.4838768637480518	1.0	0.8064614395800863
Initial_000000025	28512000.0	27.933948564736482	7.025142950950495	1.1009078184182175	1.1009078184182175	1.1019078184182178	1.1469078184182178	0.3988755703338973	0.80084483333598	0.6647926172231622
Initial_000000026	28512000.0	29.111727091471902	9.166569495623376	1.0775878035888564	1.0775878035888564	1.0785878035888563	1.1235878035888562	0.3903955649414023	1.0	0.6506592749023372
Initial_000000027	28512000.0	4.845744408975255	3.437390428436229	1.4167766006384455	1.4167766006384455	1.4177766006384456	1.4627766006384455	0.5651106402553782	0.9761499823582815	0.9418510670922969
Initial_000000028	28512000.0	7.194570292108332	9.009716791122123	1.4901704328112741	1.4901704328112741	1.491170432811274	1.536170432811274	0.48288725481116523	0.8048120913519421	0.9136651564947
Initial_000000029	28512000.0	3.3730176222888764	1.8473242181292837	1.4521631492174973	1.4521631492174973	1.4531631492174975	1.4981631492174974	0.4253636719110404	0.7089394531850673	0.9595237885325335
Initial_000000030	28512000.0	0.8262195048071241	5.591443456310224	0.9454975066916322	0.9454975066916322	0.9464975066916321	0.9914975066916323	0.0011362077009633065	0.001893679501605511	0.9900853659423146
Initial_000000031	28512000.0	16.714938950772446	0.8885070752855739	1.3230442087747059	1.3230442087747059	1.3240442087747057	1.3690442087747057	0.47965243955443837	1.0	0.7994207325907307
