plant	time	x	y	r_ag	h_ag	r_bg	h_bg	growth	ag_resources	bg_resources
Initial_000000001	0.0	3.85621159906146	8.598933646485218	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000002	0.0	21.27185288111787	1.2930695209475718	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000003	0.0	36.26937281241047	0.362379220499216	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000004	0.0	11.170891597192506	3.573874914190366	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000005	0.0	29.190773659449714	1.5872888856366518	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000006	0.0	28.90001836406905	2.125216495548401	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000007	0.0	45.683095008214394	8.52435666577039	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000008	0.0	6.798332536536194	7.043051931518589	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000009	0.0	21.984324917574394	0.4824472224839571	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000010	0.0	27.38289757722311	6.926918234398087	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000011	0.0	38.41196069660732	6.215688235838598	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000012	0.0	29.996749799732402	2.814513603994583	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000013	0.0	21.069753614824887	4.468916533642534	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000014	0.0	24.042792508951617	2.7005585714712788	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000015	0.0	11.05779583247406	3.0416985261189344	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000016	0.0	12.064970154771382	3.5771914789507733	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000017	0.0	8.87496749230776	8.699862056580422	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000018	0.0	1.1931793940450242	4.654552478731031	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000019	0.0	23.50925789241451	2.7899092348646395	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000020	0.0	10.962233082291434	1.4673761823662312	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000021	0.0	20.836696239886642	9.838043365938933	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000022	0.0	2.844352171888276	5.0340370093988565	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000023	0.0	35.947077287644376	6.3866903059768285	0.004	0.004	0.005	0.05	NaN	NaN	NaN
Initial_000000024	0.0	16.128213368326143	4.222551766925138	0.004	0.004	0.005	0.05	NaN	NaN	NaN
