plant	time	x	y	r_ag	h_ag	r_bg	h_bg	growth	ag_resources	bg_resources
Initial_000000001	7776000.0	3.85621159906146	8.598933646485218	0.43317645736506816	0.43317645736506816	0.43417645736506816	0.47917645736506814	0.5722352764867575	1.0	0.9537254608112625
Initial_000000002	7776000.0	21.27185288111787	1.2930695209475718	0.33913199444196346	0.33913199444196346	0.34013199444196346	0.3851319944419635	0.4468426592559513	1.0	0.7447377654265855
Initial_000000003	7776000.0	36.26937281241047	0.362379220499216	0.2581453868129835	0.2581453868129835	0.2591453868129835	0.30414538681298353	0.3388605157506447	1.0	0.5647675262510745
Initial_000000004	7776000.0	11.170891597192506	3.573874914190366	0.3936771853751605	0.3936771853751605	0.3946771853751605	0.43967718537516043	0.519569580500214	1.0	0.8659493008336899
Initial_000000005	7776000.0	29.190773659449714	1.5872888856366518	0.29636982223897157	0.29636982223897157	0.29736982223897157	0.34236982223897156	0.38982642965196207	1.0	0.6497107160866035
Initial_000000006	7776000.0	28.90001836406905	2.125216495548401	0.2979399008340271	0.2979399008340271	0.2989399008340271	0.3439399008340271	0.3919198677787028	1.0	0.6531997796311714
Initial_000000007	7776000.0	45.683095008214394	8.52435666577039	0.2073112869556423	0.2073112869556423	0.2083112869556423	0.2533112869556423	0.2710817159408564	1.0	0.4518028599014273
Initial_000000008	7776000.0	6.798332536536194	7.043051931518589	0.41728900430270455	0.41728900430270455	0.41828900430270455	0.4632890043027045	0.5510520057369394	1.0	0.9184200095615657
Initial_000000009	7776000.0	21.984324917574394	0.4824472224839571	0.33528464544509823	0.33528464544509823	0.33628464544509823	0.38128464544509827	0.4417128605934643	1.0	0.7361881009891073
Initial_000000010	7776000.0	27.38289757722311	6.926918234398087	0.3061323530829952	0.3061323530829952	0.3071323530829952	0.3521323530829952	0.4028431374439936	1.0	0.6714052290733227
Initial_000000011	7776000.0	38.41196069660732	6.215688235838598	0.2465754122383205	0.2465754122383205	0.2475754122383205	0.2925754122383205	0.3234338829844273	1.0	0.5390564716407122
