plant	time	x	y	r_ag	h_ag	r_bg	h_bg	growth	ag_resources	bg_resources
Initial_000000001	31536000.0	3.85621159906146	8.598933646485218	1.4142876247595273	1.4142876247595273	1.4152876247595274	1.4602876247595276	0.520224186864847	0.8670403114414117	0.9537254608112625
Initial_000000002	31536000.0	21.27185288111787	1.2930695209475718	1.4536635667266746	1.4536635667266746	1.4546635667266747	1.4996635667266747	0.4431611184732459	0.7386018641220765	0.7447377654265855
Initial_000000003	31536000.0	36.26937281241047	0.362379220499216	1.1052966761895953	1.1052966761895953	1.1062966761895954	1.1512966761895953	0.3388605157506447	1.0	0.5647675262510745
Initial_000000004	31536000.0	11.170891597192506	3.573874914190366	0.9165227166031885	0.9165227166031885	0.9175227166031884	0.9625227166031883	0.00755635879387425	0.012593931323123751	0.8659493008336899
Initial_000000005	31536000.0	29.190773659449714	1.5872888856366518	1.1286440444327877	1.1286440444327877	1.1296440444327878	1.1746440444327877	0.09869926343833255	0.1644987723972209	0.6497107160866035
Initial_000000006	31536000.0	28.90001836406905	2.125216495548401	1.277739570280784	1.277739570280784	1.2787395702807842	1.3237395702807842	0.3919198677787028	0.77518622053771	0.6531997796311714
Initial_000000007	31536000.0	45.683095008214394	8.52435666577039	0.8850155768077835	0.8850155768077835	0.8860155768077835	0.9310155768077836	0.2710817159408564	0.7061858126623299	0.4518028599014273
Initial_000000008	31536000.0	6.798332536536194	7.043051931518589	1.4984184039725523	1.4984184039725523	1.4994184039725522	1.5444184039725521	0.46715355852081586	0.7785892642013598	0.9184200095615657
Initial_000000009	31536000.0	21.984324917574394	0.4824472224839571	1.3697149288443138	1.3697149288443138	1.3707149288443137	1.4157149288443136	0.28641182512969265	0.4773530418828211	0.7361881009891073
Initial_000000011	31536000.0	38.41196069660732	6.215688235838598	1.055160119699389	1.055160119699389	1.056160119699389	1.101160119699389	0.3234338829844273	1.0	0.5390564716407122
Initial_000000012	31536000.0	29.996749799732402	2.814513603994583	1.252076054686262	1.252076054686262	1.253076054686262	1.298076054686262	0.3840234014419267	0.7809954751131222	0.6400390024032112
Initial_000000013	31536000.0	21.069753614824887	4.468916533642534	1.4609677654130977	1.4609677654130977	1.4619677654130976	1.5069677654130975	0.4482977739732608	0.9354995298799554	0.7471629566221014
Initial_000000014	31536000.0	24.042792508951617	2.7005585714712788	1.1270830946365475	1.1270830946365475	1.1280830946365477	1.1730830946365476	0.09923379174852652	0.16538965291421087	0.7114864898925806
Initial_000000015	31536000.0	11.05779583247406	3.0416985261189344	1.3401517992614027	1.3401517992614027	1.3411517992614026	1.3861517992614028	0.16457399949066695	0.2742899991511116	0.8673064500103113
Initial_000000016	31536000.0	12.064970154771382	3.5771914789507733	1.4947785782077498	1.4947785782077498	1.49577857820775	1.5407785782077499	0.4807075173720783	0.8011791956201305	0.8552203581427434
Initial_000000017	31536000.0	8.87496749230776	8.699862056580422	1.4642434481724447	1.4642434481724447	1.4652434481724448	1.5102434481724447	0.47964157760505216	0.7994026293417537	0.8935003900923069
Initial_000000018	31536000.0	1.1931793940450242	4.654552478731031	1.4478959008156569	1.4478959008156569	1.4488959008156568	1.4938959008156567	0.48983842238681036	0.816397370644684	0.9856818472714597
Initial_000000019	31536000.0	23.50925789241451	2.7899092348646395	1.4038833653175007	1.4038833653175007	1.4048833653175006	1.4498833653175007	0.43073334317461553	1.0	0.7178889052910259
Initial_000000020	31536000.0	10.962233082291434	1.4673761823662312	1.4369477849706294	1.4369477849706294	1.4379477849706293	1.4829477849706292	0.5210719218075016	0.997915133204105	0.8684532030125027
Initial_000000021	31536000.0	20.836696239886642	9.838043365938933	1.4664213079866524	1.4664213079866524	1.4674213079866525	1.5124213079866524	0.4499757870728162	1.0	0.7499596451213604
Initial_000000022	31536000.0	2.844352171888276	5.0340370093988565	1.4161633381804242	1.4161633381804242	1.4171633381804243	1.4621633381804242	0.44138850530927093	0.7356475088487849	0.9658677739373407
Initial_000000023	31536000.0	35.947077287644376	6.3866903059768285	1.1128383914691218	1.1128383914691218	1.113838391469122	1.1588383914691218	0.3411810435289605	0.9573150053130157	0.5686350725482675
Initial_000000024	31536000.0	16.128213368326143	4.222551766925138	1.4556305912441556	1.4556305912441556	1.4566305912441555	1.5016305912441557	0.4838768637480518	1.0	0.8064614395800863
Initial_000000025	31536000.0	27.933948564736482	7.025142950950495	1.3003456035851664	1.3003456035851664	1.3013456035851667	1.3463456035851666	0.3988755703338973	0.73634351140824	0.6647926172231622
Initial_000000026	31536000.0	29.111727091471902	9.166569495623376	1.2727855860595574	1.2727855860595574	1.2737855860595573	1.3187855860595572	0.3903955649414023	1.0	0.6506592749023372
Initial_000000027	31536000.0	4.845744408975255	3.437390428436229	1.4167766006384455	1.4167766006384455	1.4177766006384456	1.4627766006384455	0.5159310664716167	0.8598851107860278	0.9418510670922969
Initial_000000028	31536000.0	7.194570292108332	9.009716791122123	1.4901704328112741	1.4901704328112741	1.491170432811274	1.536170432811274	0.5231026466452593	0.8718377444087655	0.9136651564947
Initial_000000029	31536000.0	3.3730176222888764	1.8473242181292837	1.4521631492174973	1.4521631492174973	1.4531631492174975	1.4981631492174974	0.31628279047302804	0.5271379841217134	0.9595237885325335
Initial_000000030	31536000.0	0.8262195048071241	5.591443456310224	0.9460651873354371	0.9460651873354371	0.947065187335437	0.9920651873354371	0.001135044734653592	0.0018917412244226534	0.9900853659423146
Initial_000000031	31536000.0	16.714938950772446	0.8885070752855739	1.4429573186633156	1.4429573186633156	1.4439573186633154	1.4889573186633154	0.47965243955443837	1.0	0.7994207325907307
Initial_000000032	31536000.0	18.867589866850388	3.7082529133551265	1.3964600588760312	1.3964600588760312	1.3974600588760313	1.4424600588760312	0.4641533529586772	0.9891172174026589	0.7735889215977954
