plant	time	x	y	r_ag	h_ag	r_bg	h_bg	growth	ag_resources	bg_resources
Initial_000000001	18144000.0	3.85621159906146	8.598933646485218	1.0054117338518256	1.0054117338518256	1.0064117338518257	1.0514117338518258	0.5722352764867575	0.9977420839174309	0.9537254608112625
Initial_000000002	18144000.0	21.27185288111787	1.2930695209475718	0.7859746536979147	0.7859746536979147	0.7869746536979147	0.8319746536979148	0.4468426592559513	0.8932329510636435	0.7447377654265855
Initial_000000003	18144000.0	36.26937281241047	0.362379220499216	0.5970059025636283	0.5970059025636283	0.5980059025636283	0.6430059025636283	0.3388605157506447	1.0	0.5647675262510745
Initial_000000004	18144000.0	11.170891597192506	3.573874914190366	0.8333988569001809	0.8333988569001809	0.8343988569001808	0.8793988569001807	0.3253373102410062	0.542228850401677	0.8659493008336899
Initial_000000005	18144000.0	29.190773659449714	1.5872888856366518	0.6861962518909337	0.6861962518909337	0.6871962518909337	0.7321962518909337	0.38982642965196207	0.7988244478119116	0.6497107160866035
Initial_000000006	18144000.0	28.90001836406905	2.125216495548401	0.6898597686127299	0.6898597686127299	0.6908597686127299	0.73585976861273	0.3919198677787028	0.8297258624997161	0.6531997796311714
Initial_000000007	18144000.0	45.683095008214394	8.52435666577039	0.4783930028964988	0.4783930028964988	0.4793930028964988	0.5243930028964988	0.2710817159408564	0.8930796827794562	0.4518028599014273
Initial_000000008	18144000.0	6.798332536536194	7.043051931518589	0.9683410100396438	0.9683410100396438	0.9693410100396438	1.0143410100396437	0.5510520057369394	1.0	0.9184200095615657
Initial_000000009	18144000.0	21.984324917574394	0.4824472224839571	0.7758483649691752	0.7758483649691752	0.7768483649691752	0.8218483649691752	0.4417128605934643	0.795186861857448	0.7361881009891073
Initial_000000010	18144000.0	27.38289757722311	6.926918234398087	0.7044994612798835	0.7044994612798835	0.7054994612798834	0.7504994612798833	0.38493902045557205	0.6415650340926201	0.6714052290733227
Initial_000000011	18144000.0	38.41196069660732	6.215688235838598	0.5700092952227479	0.5700092952227479	0.5710092952227479	0.6160092952227479	0.3234338829844273	1.0	0.5390564716407122
Initial_000000012	18144000.0	29.996749799732402	2.814513603994583	0.6760409525233718	0.6760409525233718	0.6770409525233718	0.7220409525233719	0.3840234014419267	1.0	0.6400390024032112
Initial_000000013	18144000.0	21.069753614824887	4.468916533642534	0.7885211044532064	0.7885211044532064	0.7895211044532064	0.8345211044532064	0.4482977739732608	1.0	0.7471629566221014
Initial_000000014	18144000.0	24.042792508951617	2.7005585714712788	0.7510608143872095	0.7510608143872095	0.7520608143872095	0.7970608143872095	0.4268918939355483	0.7230028947721565	0.7114864898925806
Initial_000000015	18144000.0	11.05779583247406	3.0416985261189344	0.8799976590028002	0.8799976590028002	0.8809976590028001	0.9259976590028003	0.4669781548424115	0.7782969247373526	0.8673064500103113
Initial_000000016	18144000.0	12.064970154771382	3.5771914789507733	0.8702354773797134	0.8702354773797134	0.8712354773797134	0.9162354773797134	0.49206294902497427	0.8201049150416239	0.8552203581427434
Initial_000000017	18144000.0	8.87496749230776	8.699862056580422	0.9421754095969223	0.9421754095969223	0.9431754095969223	0.9881754095969223	0.5361002340553841	1.0	0.8935003900923069
