plant	time	x	y	r_ag	h_ag	r_bg	h_bg	growth	ag_resources	bg_resources
Initial_000000001	23328000.0	3.85621159906146	8.598933646485218	1.283372735768635	1.283372735768635	1.2843727357686352	1.3293727357686353	0.5421637847207542	0.9036063078679237	0.9537254608112625
Initial_000000002	23328000.0	21.27185288111787	1.2930695209475718	1.0093959833258903	1.0093959833258903	1.0103959833258904	1.0553959833258904	0.4468426592559513	0.8884883916139162	0.7447377654265855
Initial_000000003	23328000.0	36.26937281241047	0.362379220499216	0.7664361604389507	0.7664361604389507	0.7674361604389507	0.8124361604389507	0.3388605157506447	1.0	0.5647675262510745
Initial_000000004	23328000.0	11.170891597192506	3.573874914190366	0.8934011069164255	0.8934011069164255	0.8944011069164254	0.9394011069164253	0.08263454285206816	0.13772423808678028	0.8659493008336899
Initial_000000005	23328000.0	29.190773659449714	1.5872888856366518	0.8811094667169148	0.8811094667169148	0.8821094667169148	0.9271094667169149	0.38982642965196207	0.6908772839186212	0.6497107160866035
Initial_000000006	23328000.0	28.90001836406905	2.125216495548401	0.8858197025020813	0.8858197025020813	0.8868197025020813	0.9318197025020813	0.3919198677787028	0.743127147766323	0.6531997796311714
Initial_000000007	23328000.0	45.683095008214394	8.52435666577039	0.613933860866927	0.613933860866927	0.614933860866927	0.6599338608669271	0.2710817159408564	0.8060565635005336	0.4518028599014273
Initial_000000008	23328000.0	6.798332536536194	7.043051931518589	1.2438670129081135	1.2438670129081135	1.2448670129081134	1.2898670129081133	0.5510520057369394	0.9873563442664534	0.9184200095615657
Initial_000000009	23328000.0	21.984324917574394	0.4824472224839571	0.9967047952659074	0.9967047952659074	0.9977047952659074	1.0427047952659074	0.4417128605934643	0.7960848087645506	0.7361881009891073
Initial_000000010	23328000.0	27.38289757722311	6.926918234398087	0.8211393136107392	0.8211393136107392	0.8221393136107391	0.867139313610739	0.15530219315921528	0.25883698859869214	0.6714052290733227
Initial_000000011	23328000.0	38.41196069660732	6.215688235838598	0.7317262367149616	0.7317262367149616	0.7327262367149616	0.7777262367149617	0.3234338829844273	1.0	0.5390564716407122
Initial_000000012	23328000.0	29.996749799732402	2.814513603994583	0.8680526532443352	0.8680526532443352	0.8690526532443352	0.9140526532443353	0.3840234014419267	0.9353253758444818	0.6400390024032112
Initial_000000013	23328000.0	21.069753614824887	4.468916533642534	1.012669991439837	1.012669991439837	1.0136699914398368	1.0586699914398368	0.4482977739732608	1.0	0.7471629566221014
Initial_000000014	23328000.0	24.042792508951617	2.7005585714712788	0.9458755927912336	0.9458755927912336	0.9468755927912336	0.9918755927912336	0.37076882707950665	0.6179480451325111	0.7114864898925806
Initial_000000015	23328000.0	11.05779583247406	3.0416985261189344	1.1135270179118644	1.1135270179118644	1.1145270179118643	1.1595270179118644	0.4436029760962482	0.739338293493747	0.8673064500103113
Initial_000000016	23328000.0	12.064970154771382	3.5771914789507733	1.121587186857431	1.121587186857431	1.122587186857431	1.167587186857431	0.4972867441730211	0.8288112402883685	0.8552203581427434
Initial_000000017	23328000.0	8.87496749230776	8.699862056580422	1.2102255266246142	1.2102255266246142	1.2112255266246144	1.2562255266246143	0.5361002340553841	0.9146110187310181	0.8935003900923069
Initial_000000018	23328000.0	1.1931793940450242	4.654552478731031	1.3181752772865192	1.3181752772865192	1.319175277286519	1.364175277286519	0.5533627929045498	0.9222713215075831	0.9856818472714597
Initial_000000019	23328000.0	23.50925789241451	2.7899092348646395	0.9731500221428848	0.9731500221428848	0.9741500221428848	1.0191500221428849	0.43073334317461553	0.7739104566413804	0.7178889052910259
Initial_000000020	23328000.0	10.962233082291434	1.4673761823662312	1.1764118240668786	1.1764118240668786	1.1774118240668785	1.2224118240668784	0.5210719218075016	0.9842934221433661	0.8684532030125027
Initial_000000021	23328000.0	20.836696239886642	9.838043365938933	1.0164455209138363	1.0164455209138363	1.0174455209138364	1.0624455209138364	0.4499757870728162	1.0	0.7499596451213604
Initial_000000022	23328000.0	2.844352171888276	5.0340370093988565	1.292740689088026	1.292740689088026	1.293740689088026	1.338740689088026	0.5336179131340879	0.8893631885568133	0.9658677739373407
Initial_000000023	23328000.0	35.947077287644376	6.3866903059768285	0.7716573479401613	0.7716573479401613	0.7726573479401613	0.8176573479401613	0.3411810435289605	1.0	0.5686350725482675
Initial_000000024	23328000.0	16.128213368326143	4.222551766925138	1.0927229434331165	1.0927229434331165	1.0937229434331164	1.1387229434331165	0.4838768637480518	1.0	0.8064614395800863
Initial_000000025	23328000.0	27.933948564736482	7.025142950950495	0.901470033251269	0.901470033251269	0.902470033251269	0.9474700332512689	0.3988755703338973	0.8092272260125556	0.6647926172231622
Initial_000000026	23328000.0	29.111727091471902	9.166569495623376	0.8823900211181552	0.8823900211181552	0.8833900211181552	0.9283900211181553	0.3903955649414023	1.0	0.6506592749023372
Initial_000000027	23328000.0	4.845744408975255	3.437390428436229	1.275498940574601	1.275498940574601	1.276498940574601	1.321498940574601	0.5651106402553782	1.0	0.9418510670922969
Initial_000000028	23328000.0	7.194570292108332	9.009716791122123	1.2374479612678448	1.2374479612678448	1.2384479612678447	1.2834479612678447	0.54819909389682	0.9477004258966598	0.9136651564947
Initial_000000029	23328000.0	3.3730176222888764	1.8473242181292837	1.233101443285143	1.233101443285143	1.2341014432851432	1.279101443285143	0.4787018906686354	0.7978364844477257	0.9595237885325335
Initial_000000030	23328000.0	0.8262195048071241	5.591443456310224	0.9413776111847968	0.9413776111847968	0.9423776111847967	0.9873776111847968	0.05201981599433828	0.08669969332389714	0.9900853659423146
Initial_000000031	23328000.0	16.714938950772446	0.8885070752855739	1.0832179889974864	1.0832179889974864	1.0842179889974863	1.1292179889974863	0.47965243955443837	1.0	0.7994207325907307
Initial_000000032	23328000.0	18.867589866850388	3.7082529133551265	1.0483450441570235	1.0483450441570235	1.0493450441570236	1.0943450441570235	0.4641533529586772	1.0	0.7735889215977954
Initial_000000034	23328000.0	0.9479300092549103	6.712841406459985	1.3132006718739604	1.3132006718739604	1.3142006718739603	1.3592006718739602	0.5530876475903431	0.9218127459839053	0.9886248398889411
Initial_000000035	23328000.0	32.81832801710468	6.2642945970151604	0.8223430861229044	0.8223430861229044	0.8233430861229044	0.8683430861229045	0.36370803827684633	1.0	0.6061800637947439
Initial_000000036	23328000.0	3.485326183234916	0.8267045375168325	1.2174304865025332	1.2174304865025332	1.218430486502533	1.2634304865025332	0.445228119670716	0.7420468661178601	0.958176085801181
Initial_000000037	23328000.0	35.28784173931048	8.043088931372514	0.7823369638231703	0.7823369638231703	0.7833369638231703	0.8283369638231702	0.3459275394769646	1.0	0.5765458991282744
Initial_000000038	23328000.0	19.803983759270512	0.14764454170164143	1.0331754630998176	1.0331754630998176	1.0341754630998174	1.0791754630998174	0.45741131693325227	1.0	0.7623521948887538
Initial_000000039	23328000.0	25.247191358345095	4.686820152397411	0.9449954999948093	0.9449954999948093	0.9459954999948093	0.9909954999948092	0.4182202222199153	1.0	0.6970337036998588
Initial_000000040	23328000.0	28.16346444520288	0.5763130269645145	0.8977518759877131	0.8977518759877131	0.8987518759877131	0.9437518759877132	0.3972230559945392	0.995092626671574	0.6620384266575654
Initial_000000041	23328000.0	47.470909878969394	7.453551281820704	0.5849712599606958	0.5849712599606958	0.5859712599606958	0.6309712599606958	0.25820944887142033	1.0	0.4303490814523673
Initial_000000042	23328000.0	41.05161616444799	5.900615267457318	0.6889638181359424	0.6889638181359424	0.6899638181359424	0.7349638181359425	0.3044283636159745	1.0	0.5073806060266242
Initial_000000043	23328000.0	21.579236576047332	0.7266032285986568	0.7129052926750888	0.7129052926750888	0.7139052926750888	0.7589052926750888	0.010351189819122262	0.017251983031870435	0.741049161087432
Initial_000000044	23328000.0	1.2947564720966032	6.0472910242123445	0.7673263092427641	0.7673263092427641	0.7683263092427641	0.8133263092427642	0.030671005819244878	0.0511183430320748	0.9844629223348408
Initial_000000045	23328000.0	45.6368893002823	9.079131163843336	0.6146823933354268	0.6146823933354268	0.6156823933354268	0.6606823933354268	0.2714143970379675	0.8132783395423098	0.45235732839661247
Initial_000000046	23328000.0	44.35992507055268	6.287563201074157	0.6353692138570467	0.6353692138570467	0.6363692138570467	0.6813692138570467	0.28060853949202075	1.0	0.46768089915336797
Initial_000000047	23328000.0	31.437538695843937	0.6882325636977993	0.8447118731273282	0.8447118731273282	0.8457118731273282	0.8907118731273282	0.3736497213899236	1.0	0.6227495356498727
Initial_000000048	23328000.0	27.006044364217587	6.343447384435509	0.9165020812996751	0.9165020812996751	0.9175020812996751	0.9625020812996752	0.4055564805776333	0.8928759641642313	0.6759274676293889
