plant	time	x	y	r_ag	h_ag	r_bg	h_bg	growth	ag_resources	bg_resources	salinity
Initial_000000001	648000.0	3.85621159906146	8.598933646485218	0.1470588191216894	0.1470588191216894	0.1480588191216894	0.19305881912168937	0.5722352764867575	1.0	0.9537254608112625	NaN
Initial_000000002	648000.0	21.27185288111787	1.2930695209475718	0.11571066481398783	0.11571066481398783	0.11671066481398783	0.16171066481398783	0.4468426592559513	1.0	0.7447377654265855	NaN
Initial_000000003	648000.0	36.26937281241047	0.362379220499216	0.08871512893766118	0.08871512893766118	0.08971512893766118	0.1347151289376612	0.3388605157506447	1.0	0.5647675262510745	NaN
Initial_000000004	648000.0	11.170891597192506	3.573874914190366	0.1338923951250535	0.1338923951250535	0.1348923951250535	0.1798923951250535	0.519569580500214	1.0	0.8659493008336899	NaN
Initial_000000005	648000.0	29.190773659449714	1.5872888856366518	0.10145660741299052	0.10145660741299052	0.10245660741299052	0.14745660741299052	0.38982642965196207	1.0	0.6497107160866035	NaN
Initial_000000006	648000.0	28.90001836406905	2.125216495548401	0.1019799669446757	0.1019799669446757	0.1029799669446757	0.1479799669446757	0.3919198677787028	1.0	0.6531997796311714	NaN
Initial_000000007	648000.0	45.683095008214394	8.52435666577039	0.0717704289852141	0.0717704289852141	0.0727704289852141	0.1177704289852141	0.2710817159408564	1.0	0.4518028599014273	NaN
Initial_000000008	648000.0	6.798332536536194	7.043051931518589	0.14176300143423484	0.14176300143423484	0.14276300143423484	0.18776300143423486	0.5510520057369394	1.0	0.9184200095615657	NaN
Initial_000000009	648000.0	21.984324917574394	0.4824472224839571	0.11442821514836608	0.11442821514836608	0.11542821514836608	0.16042821514836608	0.4417128605934643	1.0	0.7361881009891073	NaN
Initial_000000010	648000.0	27.38289757722311	6.926918234398087	0.1047107843609984	0.1047107843609984	0.1057107843609984	0.15071078436099838	0.4028431374439936	1.0	0.6714052290733227	NaN
Initial_000000011	648000.0	38.41196069660732	6.215688235838598	0.08485847074610683	0.08485847074610683	0.08585847074610684	0.13085847074610685	0.3234338829844273	1.0	0.5390564716407122	NaN
Initial_000000012	648000.0	29.996749799732402	2.814513603994583	0.10000585036048168	0.10000585036048168	0.10100585036048168	0.1460058503604817	0.3840234014419267	1.0	0.6400390024032112	NaN
Initial_000000013	648000.0	21.069753614824887	4.468916533642534	0.11607444349331521	0.11607444349331521	0.11707444349331521	0.1620744434933152	0.4482977739732608	1.0	0.7471629566221014	NaN
Initial_000000014	648000.0	24.042792508951617	2.7005585714712788	0.11072297348388709	0.11072297348388709	0.11172297348388709	0.15672297348388708	0.4268918939355483	1.0	0.7114864898925806	NaN
Initial_000000015	648000.0	11.05779583247406	3.0416985261189344	0.13409596750154668	0.13409596750154668	0.13509596750154668	0.18009596750154666	0.5203838700061867	1.0	0.8673064500103113	NaN
Initial_000000016	648000.0	12.064970154771382	3.5771914789507733	0.13228305372141153	0.13228305372141153	0.13328305372141153	0.1782830537214115	0.5131322148856461	1.0	0.8552203581427434	NaN
Initial_000000017	648000.0	8.87496749230776	8.699862056580422	0.13802505851384603	0.13802505851384603	0.13902505851384603	0.18402505851384604	0.5361002340553841	1.0	0.8935003900923069	NaN
Initial_000000018	648000.0	1.1931793940450242	4.654552478731031	0.15185227709071894	0.15185227709071894	0.15285227709071894	0.19785227709071895	0.5914091083628757	1.0	0.9856818472714597	NaN
Initial_000000019	648000.0	23.50925789241451	2.7899092348646395	0.11168333579365389	0.11168333579365389	0.11268333579365389	0.1576833357936539	0.43073334317461553	1.0	0.7178889052910259	NaN
Initial_000000020	648000.0	10.962233082291434	1.4673761823662312	0.1342679804518754	0.1342679804518754	0.1352679804518754	0.18026798045187542	0.5210719218075016	1.0	0.8684532030125027	NaN
Initial_000000021	648000.0	20.836696239886642	9.838043365938933	0.11649394676820406	0.11649394676820406	0.11749394676820406	0.16249394676820406	0.4499757870728162	1.0	0.7499596451213604	NaN
Initial_000000022	648000.0	2.844352171888276	5.0340370093988565	0.1488801660906011	0.1488801660906011	0.1498801660906011	0.1948801660906011	0.5795206643624043	1.0	0.9658677739373407	NaN
