plant	time	x	y	r_ag	h_ag	r_bg	h_bg	growth	ag_resources	bg_resources	salinity
Initial_000000001	14904000.0	3.85621159906146	8.598933646485218	1.4716452591750067	1.4716452591750067	1.4726452591750068	1.5176452591750067	0.3094109121027021	0.5156848535045035	0.9537254608112625	NaN
Initial_000000002	14904000.0	21.27185288111787	1.2930695209475718	1.435259612623896	1.435259612623896	1.436259612623896	1.481259612623896	0.2862113209329418	0.47701886822156975	0.7447377654265855	NaN
Initial_000000003	14904000.0	36.26937281241047	0.362379220499216	1.4441571919402396	1.4441571919402396	1.4451571919402397	1.4901571919402397	0.27652781965350093	0.46087969942250157	0.5647675262510745	NaN
Initial_000000005	14904000.0	29.190773659449714	1.5872888856366518	1.1934307733488139	1.1934307733488139	1.194430773348814	1.239430773348814	0.01455154656562363	0.024252577609372716	0.6497107160866035	NaN
Initial_000000006	14904000.0	28.90001836406905	2.125216495548401	1.4736995041701355	1.4736995041701355	1.4746995041701356	1.5196995041701356	0.3278091462364567	0.5463485770607611	0.6531997796311714	NaN
Initial_000000007	14904000.0	45.683095008214394	8.52435666577039	1.4937347218199097	1.4937347218199097	1.4947347218199099	1.5397347218199098	0.2710817159408564	0.6761461798763511	0.4518028599014273	NaN
Initial_000000009	14904000.0	21.984324917574394	0.4824472224839571	1.4311260496123317	1.4311260496123317	1.4321260496123316	1.4771260496123315	0.3511792594698937	0.5852987657831562	0.7361881009891073	NaN
Initial_000000011	14904000.0	38.41196069660732	6.215688235838598	1.4594524734299232	1.4594524734299232	1.4604524734299233	1.5054524734299233	0.3234338829844273	0.6151710894506981	0.5390564716407122	NaN
Initial_000000012	14904000.0	29.996749799732402	2.814513603994583	1.3830486575832481	1.3830486575832481	1.3840486575832482	1.4290486575832482	0.0023607392819522104	0.003934565469920351	0.6400390024032112	NaN
Initial_000000013	14904000.0	21.069753614824887	4.468916533642534	1.4992298453231656	1.4992298453231656	1.5002298453231655	1.5452298453231654	0.37107485122155864	0.6184580853692644	0.7471629566221014	NaN
Initial_000000014	14904000.0	24.042792508951617	2.7005585714712788	1.4855146288916712	1.4855146288916712	1.486514628891671	1.5315146288916712	0.4268918939355483	0.8110632313434182	0.7114864898925806	NaN
Initial_000000015	14904000.0	11.05779583247406	3.0416985261189344	1.4967382298307381	1.4967382298307381	1.497738229830738	1.5427382298307382	0.4671902138587275	0.7786503564312125	0.8673064500103113	NaN
Initial_000000016	14904000.0	12.064970154771382	3.5771914789507733	1.399724657931266	1.399724657931266	1.400724657931266	1.4457246579312664	0.03866448116238077	0.06444080193730128	0.8552203581427434	NaN
Initial_000000017	14904000.0	8.87496749230776	8.699862056580422	1.4782300092250065	1.4782300092250065	1.4792300092250066	1.5242300092250065	0.41856563084539594	0.6976093847423266	0.8935003900923069	NaN
Initial_000000021	14904000.0	20.836696239886642	9.838043365938933	1.4664213079866524	1.4664213079866524	1.4674213079866525	1.5124213079866524	0.2483914722393484	0.4139857870655807	0.7499596451213604	NaN
