plant	time	x	y	r_ag	h_ag	r_bg	h_bg	growth	ag_resources	bg_resources	salinity
Initial_000000001	12960000.0	3.85621159906146	8.598933646485218	1.4716452591750067	1.4716452591750067	1.4726452591750068	1.5176452591750067	0.3094109121027021	0.5156848535045035	0.9537254608112625	NaN
Initial_000000002	12960000.0	21.27185288111787	1.2930695209475718	1.435259612623896	1.435259612623896	1.436259612623896	1.481259612623896	0.2862113209329418	0.47701886822156975	0.7447377654265855	NaN
Initial_000000003	12960000.0	36.26937281241047	0.362379220499216	1.4441571919402396	1.4441571919402396	1.4451571919402397	1.4901571919402397	0.3388605157506447	0.5662325764779553	0.5647675262510745	NaN
Initial_000000005	12960000.0	29.190773659449714	1.5872888856366518	1.18168839922915	1.18168839922915	1.1826883992291501	1.22768839922915	0.016270836321905034	0.027118060536508393	0.6497107160866035	NaN
Initial_000000006	12960000.0	28.90001836406905	2.125216495548401	1.4736995041701355	1.4736995041701355	1.4746995041701356	1.5196995041701356	0.3279982119367875	0.5466636865613126	0.6531997796311714	NaN
Initial_000000007	12960000.0	45.683095008214394	8.52435666577039	1.3594085797042823	1.3594085797042823	1.3604085797042824	1.4054085797042823	0.2710817159408564	0.5256796141976045	0.4518028599014273	NaN
Initial_000000009	12960000.0	21.984324917574394	0.4824472224839571	1.4311260496123317	1.4311260496123317	1.4321260496123316	1.4771260496123315	0.3511792594698937	0.5852987657831562	0.7361881009891073	NaN
Initial_000000011	12960000.0	38.41196069660732	6.215688235838598	1.4594524734299232	1.4594524734299232	1.4604524734299233	1.5054524734299233	0.3234338829844273	0.6811710072590196	0.5390564716407122	NaN
Initial_000000012	12960000.0	29.996749799732402	2.814513603994583	1.3814399132831876	1.3814399132831876	1.3824399132831877	1.4274399132831876	0.0017649709593430803	0.0029416182655718007	0.6400390024032112	NaN
Initial_000000013	12960000.0	21.069753614824887	4.468916533642534	1.4378460258752461	1.4378460258752461	1.438846025875246	1.483846025875246	0.2491983632367263	0.41533060539454386	0.7471629566221014	NaN
Initial_000000014	12960000.0	24.042792508951617	2.7005585714712788	1.4855146288916712	1.4855146288916712	1.486514628891671	1.5315146288916712	0.4268918939355483	0.8110632313434182	0.7114864898925806	NaN
Initial_000000015	12960000.0	11.05779583247406	3.0416985261189344	1.4967382298307381	1.4967382298307381	1.497738229830738	1.5427382298307382	0.4671902138587275	0.7786503564312125	0.8673064500103113	NaN
Initial_000000016	12960000.0	12.064970154771382	3.5771914789507733	1.3712629985821054	1.3712629985821054	1.3722629985821053	1.4172629985821057	0.03654199193617569	0.06090331989362615	0.8552203581427434	NaN
Initial_000000017	12960000.0	8.87496749230776	8.699862056580422	1.4782300092250065	1.4782300092250065	1.4792300092250066	1.5242300092250065	0.41856563084539594	0.6976093847423266	0.8935003900923069	NaN
Initial_000000021	12960000.0	20.836696239886642	9.838043365938933	1.4664213079866524	1.4664213079866524	1.4674213079866525	1.5124213079866524	0.2627874225265276	0.43797903754421263	0.7499596451213604	NaN
Initial_000000023	12960000.0	35.947077287644376	6.3866903059768285	1.4540194349980824	1.4540194349980824	1.4550194349980825	1.5000194349980824	0.3411810435289605	0.672961751431357	0.5686350725482675	NaN
Initial_000000024	12960000.0	16.128213368326143	4.222551766925138	1.479512252835308	1.479512252835308	1.4805122528353079	1.5255122528353078	0.27314551026687073	0.4552425171114512	0.8064614395800863	NaN
Initial_000000025	12960000.0	27.933948564736482	7.025142950950495	1.478390386722222	1.478390386722222	1.4793903867222218	1.5243903867222217	0.17454558106091647	0.29090930176819413	0.6647926172231622	NaN
Initial_000000026	12960000.0	29.111727091471902	9.166569495623376	1.4679833685302583	1.4679833685302583	1.4689833685302582	1.5139833685302582	0.3903955649414023	0.9033548500417161	0.6506592749023372	NaN
Initial_000000027	12960000.0	4.845744408975255	3.437390428436229	1.4971376551916797	1.4971376551916797	1.4981376551916796	1.5431376551916798	0.5037367881019246	0.8395613135032077	0.9418510670922969	NaN
Initial_000000028	12960000.0	7.194570292108332	9.009716791122123	1.4971368875658668	1.4971368875658668	1.498136887565867	1.5431368875658669	0.37422269848378226	0.6237044974729704	0.9136651564947	NaN
Initial_000000030	12960000.0	0.8262195048071241	5.591443456310224	1.2265751252037123	1.2265751252037123	1.2275751252037124	1.2725751252037123	0.044476618445715384	0.07412769740952564	0.9900853659423146	NaN
Initial_000000032	12960000.0	18.867589866850388	3.7082529133551265	1.4960124243612474	1.4960124243612474	1.4970124243612475	1.5420124243612474	0.39820946194086493	0.6636824365681082	0.7735889215977954	NaN
Initial_000000034	12960000.0	0.9479300092549103	6.712841406459985	1.463969108141476	1.463969108141476	1.464969108141476	1.5099691081414763	0.3506478403215816	0.584413067202636	0.9886248398889411	NaN
Initial_000000035	12960000.0	32.81832801710468	6.2642945970151604	1.4588321531073858	1.4588321531073858	1.4598321531073857	1.5048321531073858	0.3564472163953919	0.5940786939923198	0.6061800637947439	NaN
Initial_000000037	12960000.0	35.28784173931048	8.043088931372514	1.4741920427771	1.4741920427771	1.4751920427771	1.5201920427771	0.33250253597049856	0.5541708932841642	0.5765458991282744	NaN
Initial_000000038	12960000.0	19.803983759270512	0.14764454170164143	1.49058678003307	1.49058678003307	1.49158678003307	1.53658678003307	0.4434646510917697	0.7391077518196162	0.7623521948887538	NaN
Initial_000000039	12960000.0	25.247191358345095	4.686820152397411	1.4655377334682895	1.4655377334682895	1.4665377334682894	1.5115377334682893	0.34153097177916836	0.5692182862986139	0.6970337036998588	NaN
Initial_000000040	12960000.0	28.16346444520288	0.5763130269645145	1.4935864599795219	1.4935864599795219	1.4945864599795218	1.539586459979522	0.3972230559945392	0.7422000511392967	0.6620384266575654	NaN
Initial_000000041	12960000.0	47.470909878969394	7.453551281820704	1.2747173866020802	1.2747173866020802	1.2757173866020803	1.3207173866020803	0.19897009455825965	0.3316168242637661	0.4303490814523673	NaN
Initial_000000042	12960000.0	41.05161616444799	5.900615267457318	1.4500347271758784	1.4500347271758784	1.4510347271758783	1.4960347271758785	0.3044283636159745	0.6263955855971782	0.5073806060266242	NaN
Initial_000000045	12960000.0	45.6368893002823	9.079131163843336	1.1828558948271584	1.1828558948271584	1.1838558948271583	1.2288558948271582	0.01782949042063903	0.02971581736773172	0.45235732839661247	NaN
Initial_000000046	12960000.0	44.35992507055268	6.287563201074157	1.4070426974601038	1.4070426974601038	1.408042697460104	1.4530426974601038	0.28060853949202075	0.6181699980853063	0.46768089915336797	NaN
Initial_000000047	12960000.0	31.437538695843937	0.6882325636977993	1.4985988855596941	1.4985988855596941	1.499598885559694	1.5445988855596942	0.3736497213899236	0.7925823179576443	0.6227495356498727	NaN
Initial_000000048	12960000.0	27.006044364217587	6.343447384435509	1.4578948544806685	1.4578948544806685	1.4588948544806684	1.5038948544806685	0.2219179620810495	0.3698632701350825	0.6759274676293889	NaN
Initial_000000050	12960000.0	44.850033177348436	2.143679845604943	1.3585876781257509	1.3585876781257509	1.359587678125751	1.404587678125751	0.2007483673042508	0.33458061217375135	0.4617996018718188	NaN
Initial_000000051	12960000.0	6.594521191748109	1.8992199253140474	1.4908937291625632	1.4908937291625632	1.4918937291625634	1.5368937291625633	0.33409637691536587	0.5568272948589431	0.9208657456990227	NaN
Initial_000000052	12960000.0	48.11517585958059	5.653091702132106	1.271853669055099	1.271853669055099	1.272853669055099	1.317853669055099	0.2535707338110198	0.5135202872414038	0.422617889685033	NaN
Initial_000000053	12960000.0	33.620733274587955	5.4793942118474215	1.2210930856137383	1.2210930856137383	1.2220930856137386	1.2670930856137386	0.017394903773787766	0.028991506289646276	0.5965512007049446	NaN
Initial_000000055	12960000.0	33.11578343932701	4.8915268168572945	1.450265436947382	1.450265436947382	1.4512654369473819	1.4962654369473818	0.30325851325839975	0.5054308554306662	0.6026105987280759	NaN
Initial_000000057	12960000.0	43.54232969823404	6.302892275729583	1.3183635049979268	1.3183635049979268	1.3193635049979267	1.3643635049979268	0.027570636106651614	0.04595106017775269	0.4774920436211916	NaN
Initial_000000059	12960000.0	14.02722894692805	9.384913111737712	1.494329030182531	1.494329030182531	1.495329030182531	1.540329030182531	0.47351818611242324	0.7891969768540388	0.8316732526368634	NaN
Initial_000000060	12960000.0	13.352291803438881	4.319686747296228	1.4951487909159669	1.4951487909159669	1.496148790915967	1.541148790915967	0.50386349901524	0.91228232546881	0.8397724983587334	NaN
Initial_000000062	12960000.0	18.47426847704015	8.670410770732728	1.4987528906323173	1.4987528906323173	1.4997528906323172	1.5447528906323171	0.436545478922899	0.7275757982048318	0.7783087782755183	NaN
Initial_000000063	12960000.0	5.1322368445315565	0.9556450337300915	1.4982117630454668	1.4982117630454668	1.4992117630454667	1.5442117630454666	0.4510822615869934	0.7518037693116557	0.9384131578656213	NaN
Initial_000000065	12960000.0	12.164211970080308	6.638678344287897	1.4987907331718104	1.4987907331718104	1.4997907331718108	1.5447907331718107	0.3425685207176046	0.570947534529341	0.8540294563590363	NaN
Initial_000000066	12960000.0	15.238122993782627	2.014789456537164	1.4748565433342953	1.4748565433342953	1.4758565433342954	1.5208565433342953	0.4171007960664949	0.6951679934441582	0.8171425240746085	NaN
Initial_000000068	12960000.0	25.029427906930195	6.562399270661137	1.4640054719230693	1.4640054719230693	1.4650054719230694	1.5100054719230693	0.26448920489353406	0.44081534148922347	0.6996468651168377	NaN
Initial_000000069	12960000.0	35.15402902760011	0.7071882445372724	1.4571576589110515	1.4571576589110515	1.4581576589110514	1.5031576589110514	0.15939786641700954	0.2656631106950159	0.5781516516687988	NaN
Initial_000000070	12960000.0	31.053764177392885	5.814831644566267	1.4951437174514584	1.4951437174514584	1.4961437174514585	1.5411437174514584	0.3764128979227713	0.7609779018111402	0.6273548298712854	NaN
Initial_000000071	12960000.0	5.562355096144033	8.432982189907591	1.4982435726459526	1.4982435726459526	1.4992435726459525	1.5442435726459527	0.35776278613032336	0.5962713102172056	0.9332517388462716	NaN
Initial_000000072	12960000.0	28.706380922402396	6.531103127068212	1.048468226827161	1.048468226827161	1.0494682268271611	1.094468226827161	0.005678782952038091	0.009464638253396818	0.6555234289311712	NaN
Initial_000000073	12960000.0	34.628678579925904	2.032250839456773	1.4943624354542677	1.4943624354542677	1.4953624354542676	1.5403624354542675	0.35067351422453347	0.6194063625899383	0.5844558570408891	NaN
Initial_000000077	12960000.0	7.271850283736919	3.5822976927394024	1.4441769357615188	1.4441769357615188	1.445176935761519	1.4901769357615189	0.2976212099242176	0.49603534987369596	0.912737796595157	NaN
Initial_000000080	12960000.0	48.8287984070448	6.017408122659216	1.1349363499524692	1.1349363499524692	1.135936349952469	1.1809363499524692	0.0221115873402085	0.03685264556701417	0.4140544191154625	NaN
Initial_000000081	12960000.0	48.313822269779976	3.3138149637925496	1.2647023982879213	1.2647023982879213	1.2657023982879212	1.3107023982879211	0.2521404796575842	0.7389524150662662	0.4202341327626403	NaN
Initial_000000082	12960000.0	26.629644161477895	7.621996315560123	1.4824361583712018	1.4824361583712018	1.4834361583712017	1.5284361583712016	0.40826656203735917	0.6835865215738108	0.6804442700622653	NaN
Initial_000000084	12960000.0	40.96620712492144	0.24505650403339851	1.1984063473180278	1.1984063473180278	1.1994063473180276	1.2444063473180276	2.6418450645931115e-05	4.403075107655186e-05	0.5084055145009427	NaN
Initial_000000086	12960000.0	8.871541604374967	6.071966234962711	1.4950561822400175	1.4950561822400175	1.4960561822400174	1.5410561822400175	0.4132586141828721	0.6887643569714534	0.8935415007475004	NaN
Initial_000000087	12960000.0	38.20183693939534	9.426451503035947	1.4662604831635913	1.4662604831635913	1.4672604831635914	1.5122604831635913	0.3235345136978107	0.5392241894963512	0.541577956727256	NaN
Initial_000000088	12960000.0	45.09774651203826	3.2212590657317564	1.3804811255666223	1.3804811255666223	1.3814811255666222	1.426481125566622	0.2752962251133245	0.5816540324035318	0.4588270418555409	NaN
Initial_000000090	12960000.0	36.03725931072192	2.1002548987485223	1.4676884865422037	1.4676884865422037	1.4686884865422036	1.5136884865422036	0.20434596287977302	0.3405766047996217	0.567552888271337	NaN
Initial_000000092	12960000.0	10.09415742362813	6.122028464568581	1.4679521671821993	1.4679521671821993	1.4689521671821995	1.5139521671821994	0.3742430341414775	0.6237383902357959	0.8788701109164624	NaN
Initial_000000094	12960000.0	39.32827013335481	4.23620049215823	1.4297640476793039	1.4297640476793039	1.4307640476793038	1.475764047679304	0.30919346927335156	0.5153224487889193	0.5280607583997423	NaN
Initial_000000099	12960000.0	28.82078740335896	5.787698078808919	1.475838740109308	1.475838740109308	1.476838740109308	1.5218387401093079	0.3610276119566567	0.6017126865944279	0.6541505511596926	NaN
Initial_000000100	12960000.0	37.945918750863534	8.164430737084906	1.3842526040814012	1.3842526040814012	1.385252604081401	1.430252604081401	0.03651765537614725	0.06086275896024542	0.5446489749896376	NaN
Initial_000000101	12960000.0	48.775325459382515	1.7299288949826885	1.0732666595998774	1.0732666595998774	1.0742666595998775	1.1192666595998775	0.00011605255522858208	0.00019342092538097015	0.41469609448740985	NaN
Initial_000000102	12960000.0	46.3062861454786	5.881633726132095	1.3369736987627698	1.3369736987627698	1.3379736987627697	1.3829736987627699	0.26659473975255404	0.7888369982788975	0.44432456625425676	NaN
Initial_000000103	12960000.0	5.184189267608219	6.148719517782175	1.4892391669719474	1.4892391669719474	1.4902391669719477	1.5352391669719476	0.36262894088183906	0.6043815681363984	0.9377897287887014	NaN
Initial_000000104	12960000.0	48.09493088123919	6.580890597956225	1.2636633914227344	1.2636633914227344	1.2646633914227348	1.3096633914227347	0.23262657569352418	0.387710959489207	0.4228608294251297	NaN
Initial_000000105	12960000.0	35.63123486924732	3.8229320810323273	1.4982391350195303	1.4982391350195303	1.4992391350195304	1.5442391350195304	0.34345510894141923	0.5786786914536096	0.5724251815690321	NaN
Initial_000000107	12960000.0	23.115465165108624	2.7485867776868975	1.2824782521308324	1.2824782521308324	1.2834782521308326	1.3284782521308325	0.013834636208414611	0.02305772701402435	0.7226144180186965	NaN
Initial_000000108	12960000.0	29.053486435921215	4.115131937147691	1.4695558662301271	1.4695558662301271	1.4705558662301272	1.5155558662301272	0.36961255734261866	0.6160209289043644	0.6513581627689454	NaN
Initial_000000109	12960000.0	3.1439555333688363	6.906742182863132	1.4991764836280632	1.4991764836280632	1.500176483628063	1.545176483628063	0.33474162777687294	0.5579027129614549	0.962272533599574	NaN
Initial_000000110	12960000.0	31.317844188427753	2.8002119353746258	1.4996487755615335	1.4996487755615335	1.5006487755615336	1.5456487755615336	0.3745115218433202	0.8405409900457549	0.624185869738867	NaN
Initial_000000111	12960000.0	29.69986352428097	9.467765478686855	1.2678922494643976	1.2678922494643976	1.2688922494643975	1.3138922494643979	0.008560947380122542	0.01426824563353757	0.6436016377086283	NaN
Initial_000000112	12960000.0	4.073758149404477	1.5265958033723526	1.0760664676450125	1.0760664676450125	1.0770664676450126	1.1220664676450125	7.835374654624933e-05	0.0001305895775770822	0.9511149022071462	NaN
Initial_000000113	12960000.0	47.11752096992157	2.1422645298809098	1.3077692450828238	1.3077692450828238	1.3087692450828239	1.3537692450828238	0.2607538490165647	0.7995701651308058	0.4345897483609411	NaN
Initial_000000114	12960000.0	42.00025460250112	3.042905128081906	1.491990834309959	1.491990834309959	1.4929908343099592	1.537990834309959	0.29759816686199186	0.6566453753826293	0.49599694476998646	NaN
Initial_000000115	12960000.0	43.982834144521114	2.1297558868348676	1.415803282262844	1.415803282262844	1.416803282262844	1.461803282262844	0.2693699095369183	0.4489498492281972	0.4722059902657466	NaN
Initial_000000118	12960000.0	21.78583952864321	3.2327360244599523	1.444211355029749	1.444211355029749	1.4452113550297492	1.490211355029749	0.3509755743947013	0.5849592906578355	0.7385699256562814	NaN
Initial_000000119	12960000.0	49.73472770207394	7.341596409438682	1.2135498027253386	1.2135498027253386	1.2145498027253385	1.2595498027253387	0.24190996054506766	0.7606315867596853	0.4031832675751128	NaN
Initial_000000120	12960000.0	7.187656803811798	0.7591802079182086	1.4662156352920765	1.4662156352920765	1.4672156352920767	1.5122156352920766	0.3187791506423369	0.5312985844038949	0.9137481183542584	NaN
Initial_000000121	12960000.0	2.647397840682059	0.413623322154858	1.4563468388677232	1.4563468388677232	1.457346838867723	1.5023468388677235	0.30514031613995113	0.5085671935665852	0.9682312259118153	NaN
